assessor_neighborhood_district,assessor_neighborhood_code,assessor_neighborhood
10,10A,Bayview
10,10B,Croker Amazon
10,10C,Excelsior
10,10D,Outer Mission
10,10E,Visitacion Valley
10,10F,Portola
10,10G,Silver Terrace
10,10H,Mission Terrace
10,10J,Hunters Point
10,10K,Bayview Heights
10,10M,Candlestick Point
10,10N,Little Hollywood
1,1A,Central Richmond
1,1B,Inner Richmond
1,1C,Jordan Park/Laurel Heights
1,1D,Lake Street
1,1E,Outer Richmond
1,1F,Sea Cliff
1,1G,Lone Mountain
2,2A,Golden Gate Heights
2,2B,Outer Parkside
2,2C,Outer Sunset
2,2D,Parkside
2,2E,Central Sunset
2,2F,Inner Sunset
2,2G,Inner Parkside
3,3A,Lake Shore
3,3B,Merced Heights
3,3C,Pine Lake Park
3,3D,Stonestown
3,3E,Lakeside
3,3F,Merced Manor
3,3G,Ingleside Heights
3,3H,Ingleside
3,3J,Oceanview
4,4A,Balboa Terrace
4,4B,Diamond Heights
4,4C,Forest Hill
4,4D,Forest Knolls
4,4E,Ingleside Terrace
4,4F,Midtown Terrace
4,4G,St. Francis Wood
4,4H,Miraloma Park
4,4J,Forest Hill Extension
4,4K,Sherwood Forest
4,4M,Monterey Heights
4,4N,Mount Davidson Manor
4,4P,Westwood Highlands
4,4R,Westwood Park
4,4S,Sunnyside
4,4T,West Portal
5,5A,Glen Park
5,5B,Haight Ashbury
5,5C,Noe Valley
5,5D,Twin Peaks
5,5E,Cole Valley/Parnassus Heights
5,5F,Buena Vista Park/Ashbury Heights
5,5G,Corona Heights
5,5H,Clarendon Heights
5,5J,Duboce Triangle
5,5K,Eureka Valley/Dolores Heights
5,5M,Mission Dolores
6,6A,Anza Vista
6,6B,Hayes Valley
6,6C,Lower Pacific Heights
6,6D,Western Addition
6,6E,Alamo Square
6,6F,North Panhandle
7,7A,Marina
7,7B,Pacific Heights
7,7C,Presidio Heights
7,7D,Cow Hollow
8,8A,Downtown
8,8B,Financial District North
8,8C,Nob Hill
8,8D,North Beach
8,8E,Russian Hill
8,8F,Van Ness/ Civic Center
8,8G,Telegraph Hill
8,8H,North Waterfront
8,8I,Union Square
8,8J,Tenderloin
9,9A,Bernal Heights
9,9B,Financial District South
9,9C,Inner Mission
9,9D,Mission Bay
9,9E,Potrero Hill
9,9F,South of Market
9,9G,Bernal Heights South
9,9H,South Beach
9,9I,Treasure Isl./Yerba Buena Isl.
9,9J,Central Waterfront/Dogpatch
9,9K,Yerba Buena
